year,month,category,act_type,type,count
1990,11,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0
1990,11,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0
1990,11,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0
1990,11,Other legislative acts,Council regulations,basic,38
1990,11,Other legislative acts,Council regulations,amending,6
1990,11,Other legislative acts,Council directives,basic,6
1990,11,Other legislative acts,Council directives,amending,2
1990,11,Other legislative acts,Council decisions,basic,7
1990,11,Other legislative acts,Council decisions,amending,0
1990,11,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0
1990,11,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0
1990,11,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0
1990,11,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0
1990,11,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0
1990,11,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0
1990,11,Implementing acts,Council implementing regulations,basic,0
1990,11,Implementing acts,Council implementing regulations,amending,0
1990,11,Implementing acts,Council implementing decisions,basic,0
1990,11,Implementing acts,Council implementing decisions,amending,0
1990,11,Implementing acts,Commission implementing regulations,basic,0
1990,11,Implementing acts,Commission implementing regulations,amending,0
1990,11,Implementing acts,Commission implementing directives,basic,0
1990,11,Implementing acts,Commission implementing directives,amending,0
1990,11,Implementing acts,Commission implementing decisions,basic,0
1990,11,Implementing acts,Commission implementing decisions,amending,0
1990,11,Other acts,Commission regulations,basic,71
1990,11,Other acts,Commission regulations,amending,24
1990,11,Other acts,Commission directives,basic,0
1990,11,Other acts,Commission directives,amending,2
1990,11,Other acts,Commission decisions,basic,11
1990,11,Other acts,Commission decisions,amending,5
1990,11,Other acts,European Central Bank regulations,basic,0
1990,11,Other acts,European Central Bank regulations,amending,0
1990,11,Other acts,European Central Bank decisions,basic,0
1990,11,Other acts,European Central Bank decisions,amending,0
